City,Cloudiness,Country,Date,Humidity,Lng,Lat,Max Temp,Wind speed
Grand-Santi,100,GF,1548883571,86,-54.38,4.27,78.21,3.15
Gedo,0,ET,1548883571,50,37.45,9.01,49.86,4.16
Atuona,8,PF,1548883571,99,-139.03,-9.8,81.77,20.83
Padang,20,ID,1548878400,94,100.36,-0.92,77.0,1.12
East London,64,ZA,1548883572,99,27.91,-33.02,72.64,11.77
Georgetown,75,GY,1548882000,78,-58.16,6.8,80.6,13.87
Khatanga,36,RU,1548883573,0,102.47,71.98,-40.05,3.15
Mataura,0,NZ,1548883573,76,168.86,-46.19,74.89,4.61
Novikovo,48,UA,1548883574,100,34.56,45.05,34.11,2.71
Port-Gentil,40,GA,1548882000,94,8.78,-0.72,78.8,2.24
Butaritari,88,KI,1548883574,100,172.79,3.07,82.94,15.01
Hobart,75,AU,1548882000,66,147.33,-42.88,55.4,10.29
Eyl,0,SO,1548883574,97,49.82,7.98,74.16,16.91
Macheng,92,CN,1548883575,88,115.03,31.18,33.12,12.33
Grand Gaube,75,MU,1548882000,78,57.66,-20.01,80.6,11.41
Kawalu,56,ID,1548883575,96,108.21,-7.38,63.1,1.7
Peleduy,36,RU,1548883576,72,112.75,59.63,-11.57,2.26
Yellowknife,90,CA,1548882000,76,-114.38,62.45,-5.81,11.41
Pevek,44,RU,1548883576,97,170.27,69.7,-21.92,2.71
Tasiilaq,0,GL,1548881400,60,-37.64,65.61,10.4,5.82
Cape Town,0,ZA,1548882000,88,18.42,-33.93,68.0,16.11
Bredasdorp,92,ZA,1548882000,83,20.04,-34.53,71.6,3.36
Saint George,40,GR,1548881400,93,22.34,39.45,46.4,5.28
Victoria,75,BN,1548882000,88,115.24,5.28,80.6,5.82
Kapaa,90,US,1548881760,81,-159.32,22.08,75.92,24.16
Ushuaia,75,AR,1548882000,65,-68.31,-54.81,46.4,29.97
Punta Arenas,0,CL,1548882000,50,-70.91,-53.16,51.8,28.86
Nouadhibou,0,MR,1548882000,77,-17.03,20.93,62.6,18.34
Saskylakh,64,RU,1548883580,71,114.09,71.97,-15.88,12.21
Carnarvon,0,ZA,1548883580,17,22.13,-30.97,63.72,8.41
Semey,24,KZ,1548883581,65,80.25,50.41,8.37,9.86
Redlands,75,US,1548881880,77,-117.19,34.06,73.04,6.93
Duma,0,SY,1548878400,52,36.4,33.57,42.8,4.7
Port Alfred,88,ZA,1548883581,95,26.89,-33.59,70.56,9.19
Ulaangom,0,MN,1548883581,36,92.07,49.98,-28.48,1.92
Zhurivka,40,UA,1548882000,100,31.77,50.5,33.8,6.71
Rikitea,48,PF,1548883582,100,-134.97,-23.12,80.56,9.98
Busselton,0,AU,1548883582,100,115.35,-33.64,64.4,18.59
Hemnesberget,0,NO,1548881400,83,13.61,66.23,24.8,3.36
Clyde River,75,CA,1548882000,83,-68.59,70.47,-9.41,3.36
Saint-Philippe,90,CA,1548882960,66,-73.48,45.36,13.1,26.4
Praya,75,ID,1548882000,100,116.27,-8.71,77.0,3.94
Norman Wells,75,CA,1548882000,71,-126.83,65.28,3.2,20.8
Santa Maria la Alta,0,MX,1548883584,33,-97.67,18.6,71.15,7.29
Luderitz,12,NA,1548883584,85,15.16,-26.65,62.73,16.46
Northam,0,GB,1548881400,100,-4.21,51.04,33.8,2.24
Guarapari,20,BR,1548882000,74,-40.5,-20.67,84.2,16.11
Kundla,0,IN,1548883585,81,71.31,21.34,50.05,2.59
Hovd,0,NO,1548881400,100,10.7,63.83,32.0,11.41
Vardo,40,US,1548882900,37,-77.74,39.62,19.4,26.4
Albany,90,US,1548882060,67,-73.75,42.65,23.0,14.99
Udachnyy,32,RU,1548883585,0,112.4,66.42,-49.01,2.59
Mar del Plata,68,AR,1548883586,31,-67.52,-46.43,69.21,11.32
Camacha,75,PT,1548880200,63,-16.33,33.08,60.8,11.41
Klaksvik,48,FO,1548881400,68,-6.59,62.23,28.4,10.29
Nome,90,US,1548882900,28,-94.42,30.04,52.7,8.05
Namatanai,20,PG,1548883587,100,152.44,-3.66,82.35,11.65
Port Keats,44,AU,1548883587,100,129.55,-14.25,78.62,17.25
Margate,75,AU,1548882000,66,147.26,-43.03,55.4,10.29
Cidreira,76,BR,1548883589,87,-50.22,-30.17,83.44,4.05
Biak,12,ID,1548883589,100,122.88,-0.91,77.09,1.81
Hilo,90,US,1548881580,78,-155.08,19.71,71.06,12.75
Alice Town,0,BS,1548883590,100,-79.3,25.72,70.97,7.18
Kahului,40,US,1548881760,78,-156.47,20.89,75.02,18.34
Talnakh,0,RU,1548883591,0,88.39,69.49,-50.94,2.15
Vila Velha,20,BR,1548882000,66,-38.6,-3.71,84.2,8.05
Poopo,75,BO,1548878400,44,-66.97,-18.38,60.8,9.17
San Patricio,0,PY,1548883592,49,-56.83,-26.98,93.47,5.95
Maragogi,80,BR,1548883592,86,-35.22,-9.01,78.8,8.41
Drayton Valley,24,CA,1548883592,80,-114.98,53.22,37.26,11.77
Banikoara,0,BJ,1548883593,37,2.44,11.3,74.39,7.74
New Norfolk,75,AU,1548882000,66,147.06,-42.78,55.4,10.29
Faanui,68,PF,1548883593,100,-151.75,-16.48,83.12,22.39
Coldstream,0,GB,1548881400,86,-2.25,55.65,30.2,9.17
Guerrero Negro,12,MX,1548883594,70,-114.04,27.97,64.9,5.61
Sangod,64,IN,1548883594,64,76.29,24.93,49.37,2.59
Myitkyina,0,MM,1548883594,88,97.4,25.38,48.42,1.92
Castro,90,CL,1548882000,58,-73.76,-42.48,57.2,6.93
Port Elizabeth,90,US,1548882300,62,-74.98,39.31,30.2,24.16
Sitka,0,US,1548883595,48,-99.65,37.17,41.76,12.33
Tessalit,0,ML,1548883596,33,1.01,20.2,50.72,3.38
Tayu,75,JP,1548882000,60,136.67,35.06,42.8,11.41
Puerto Carreno,40,CO,1548882000,41,-67.49,6.19,95.0,6.93
Tautira,75,PF,1548882000,70,-149.15,-17.73,87.8,24.16
Necochea,0,AR,1548883597,82,-58.74,-38.55,69.62,14.79
Lipin Bor,88,RU,1548883597,91,37.97,60.26,26.87,6.73
Teacapan,0,MX,1548883598,42,-105.74,22.54,77.9,3.15
Iskateley,0,RU,1548883598,43,53.15,67.68,-27.09,11.77
Bluff,88,AU,1548883598,77,149.07,-23.58,73.35,11.99
Te Anau,64,NZ,1548883598,83,167.72,-45.41,65.75,3.83
Karratha,8,AU,1548883599,90,116.85,-20.74,78.4,11.32
Ilulissat,75,GL,1548881400,77,-51.1,69.22,3.2,5.82
San Cristobal,75,EC,1548882000,68,-78.55,-0.39,66.2,17.22
Ginda,92,IN,1548883599,100,78.49,30.69,34.38,1.7
Hirara,20,JP,1548883600,100,125.28,24.8,71.87,12.66
Jamestown,0,AU,1548883564,89,138.6,-33.21,57.96,12.88
Avarua,75,CK,1548882000,79,-159.78,-21.21,84.2,5.82
Zavetnoye,80,RU,1548883600,93,43.89,47.12,23.13,11.99
Sinnamary,100,GF,1548883601,100,-52.96,5.38,77.94,10.65
Oussouye,0,SN,1548882000,83,-16.54,12.49,75.2,4.7
Pacific Grove,20,US,1548881700,82,-121.92,36.62,62.96,6.93
Leh,76,IN,1548883601,73,77.58,34.16,-13.23,1.14
Chokurdakh,0,RU,1548883602,0,147.9,70.62,-49.5,3.04
Oksfjord,76,NO,1548881400,68,22.35,70.24,26.6,23.04
Hermanus,36,ZA,1548883602,81,19.24,-34.42,65.07,5.95
Torbay,90,CA,1548882000,92,-52.73,47.66,30.2,20.8
Sao Joao da Barra,0,BR,1548882000,58,-41.05,-21.64,86.0,20.8
Kavieng,68,PG,1548883603,100,150.8,-2.57,84.29,9.75
Provideniya,0,RU,1548882000,44,-173.23,64.42,21.2,13.42
Vaini,32,IN,1548883603,60,74.49,15.34,67.82,3.83
Lewiston,1,US,1548881580,81,-117.02,46.42,37.04,3.36
Sovetskaya Gavan,68,RU,1548883604,83,140.29,48.97,14.27,18.59
Yulara,0,AU,1548882000,44,130.99,-25.24,77.0,13.87
Nampula,40,MZ,1548882000,88,39.26,-15.12,75.2,6.93
At-Bashi,36,KG,1548883605,82,75.81,41.17,-2.34,2.26
Fortuna,0,ES,1548882000,43,-1.13,38.18,55.4,5.82
Dikson,0,RU,1548883605,75,80.55,73.51,-16.61,7.85
Poum,32,MK,1548883606,79,20.71,41.28,22.6,1.92
Saint Anthony,90,US,1548881760,56,-111.68,43.97,23.0,4.7
Krasnoarmeysk,90,RU,1548882000,100,38.15,56.12,28.4,6.71
Bonoua,20,CI,1548880200,88,-3.6,5.27,82.4,8.05
Constitucion,5,MX,1548880860,7,-104.67,23.99,69.8,9.17
Razvilnoye,48,RU,1548883607,92,41.3,46.24,35.01,14.67
Airai,36,TL,1548883608,95,125.41,-8.93,68.9,1.14
Codrington,44,AU,1548882000,88,153.24,-28.95,77.0,5.82
Winnemucca,1,US,1548881760,52,-117.74,40.97,51.98,2.71
Maniitsoq,0,GL,1548883610,100,-52.9,65.42,3.25,7.18
Resistencia,40,AR,1548882000,49,-58.99,-27.45,93.2,12.75
Kijang,90,KR,1548882000,99,129.21,35.24,41.0,10.29
Serebryansk,0,KZ,1548883611,63,83.3,49.68,-9.77,3.6
Ulaanbaatar,0,MN,1548882000,67,106.92,47.92,-22.01,2.24
Myaundzha,0,RU,1548883611,0,147.18,63.05,-55.22,2.59
Salalah,0,OM,1548881400,68,54.1,17.01,71.6,6.93
Waingapu,12,ID,1548883611,98,120.26,-9.65,73.18,5.28
Nacala,0,MZ,1548883612,96,40.69,-14.56,81.32,7.52
Iwaki,76,JP,1548883612,100,140.89,37.05,34.75,6.62
Bambous Virieux,75,MU,1548882000,78,57.76,-20.34,80.6,11.41
Hambantota,0,LK,1548883612,100,81.12,6.12,78.44,20.04
