City,Cloudiness,Country,Date,Humidity,Lng,Lat,Max Temp,Wind speed
Albany,20,US,1544327640,64,-73.75,42.65,24.08,6.93
Singapore,40,MY,1544328000,74,103.85,1.29,87.8,2.24
Port Elizabeth,1,US,1544327760,74,-74.98,39.31,28.4,6.73
Bethel,90,US,1544328000,95,-161.76,60.79,24.98,6.93
Rikitea,88,PF,1544329069,99,-134.97,-23.12,78.11,13.22
Kitgum,36,UG,1544329517,100,32.88,3.3,58.89,2.82
Mataura,92,NZ,1544329070,95,168.86,-46.19,62.49,11.43
Jamestown,24,AU,1544329047,35,138.6,-33.21,88.64,10.2
Qarqin,76,AF,1544329518,95,66.03,37.41,49.53,8.41
Ushuaia,75,AR,1544328000,61,-68.31,-54.81,48.2,5.82
Kodiak,1,US,1544327700,80,-94.76,39.95,26.6,4.7
Mandalgovi,0,MN,1544329518,53,106.27,45.76,-13.25,3.6
Port Alfred,68,ZA,1544328942,100,26.89,-33.59,63.62,10.09
Kyren,48,RU,1544329518,60,102.13,51.68,-16.04,1.92
Cherskiy,68,RU,1544329519,98,161.3,68.75,-22.16,3.71
Ancud,90,CL,1544328000,100,-73.83,-41.87,53.6,10.29
Malanje,92,AO,1544329519,96,16.35,-9.54,66.36,5.17
Busselton,0,AU,1544329339,80,115.35,-33.64,72.21,11.77
Arenzano,20,IT,1544327400,71,8.68,44.4,51.8,4.7
Cape Town,0,ZA,1544328000,72,18.42,-33.93,60.8,8.05
Bluff,92,AU,1544329520,66,149.07,-23.58,75.95,15.46
Caucaia,40,BR,1544328000,83,-38.66,-3.73,80.6,6.93
Vaini,32,IN,1544328000,65,74.49,15.34,77.0,4.7
Puerto Ayora,24,EC,1544329521,100,-90.35,-0.74,72.44,8.75
Kalmunai,92,LK,1544329521,100,81.82,7.42,72.84,6.62
Benghazi,80,LY,1544329521,100,20.07,32.12,67.04,19.37
Manggar,36,ID,1544328973,93,108.27,-2.88,86.61,4.38
Yellowknife,5,CA,1544328000,92,-114.38,62.45,10.4,8.05
Nishihara,75,JP,1544328000,34,139.53,35.74,50.0,12.75
Tazovskiy,80,RU,1544328954,84,78.7,67.47,15.92,9.64
Butaritari,12,KI,1544329522,100,172.79,3.07,85.67,4.61
Lorengau,76,PG,1544329522,100,147.27,-2.02,83.87,8.86
Airai,24,TL,1544329523,86,125.41,-8.93,80.31,2.04
Tasiilaq,36,GL,1544327400,48,-37.64,65.61,21.2,2.24
Clarence Town,0,AU,1544328000,45,151.78,-32.59,86.0,11.41
Tocatlan,0,MX,1544329523,83,-98.02,19.38,46.74,2.71
Takoradi,12,GH,1544329523,100,-1.75,4.89,80.49,6.17
Bredasdorp,92,ZA,1544328000,77,20.04,-34.53,59.0,3.36
Tual,24,ID,1544328989,100,132.75,-5.67,84.41,10.76
Abreus,0,CU,1544327880,94,-80.57,22.28,73.4,4.7
Half Moon Bay,40,US,1544328000,71,-122.43,37.46,55.04,5.82
Houma,24,CN,1544329524,63,111.36,35.63,23.57,2.71
Yerbogachen,76,RU,1544329524,62,108.01,61.28,-13.74,3.04
